File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,label
main/org/apache/tools/ant/DynamicConfigurator.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,4,3,0,22,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50,0,0,0,0,0,0,0
main/org/apache/tools/ant/DynamicConfiguratorNS.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,4,3,0,22,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50,0,0,0,0,0,0,0
main/org/apache/tools/ant/DynamicElement.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,36,3,4,3,0,29,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0
main/org/apache/tools/ant/DynamicElementNS.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,37,1,5,4,0,31,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.20,0,0,0,0,0,0,0
main/org/apache/tools/ant/DynamicObjectAttribute.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,41,4,5,4,0,32,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40,0,0,0,0,0,0,0
main/org/apache/tools/ant/Evaluable.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,29,3,4,3,0,22,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50,0,0,0,0,0,0,0
main/org/apache/tools/ant/Executor.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,2,0,2,0,0,0,0,48,5,6,5,0,37,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0,0,0,0
main/org/apache/tools/ant/ExitException.java,1,1,1,1,8,0,3,4,0,0,0,1,0,1,3,0,3,3,1,3,0,0,0,0,3,0,61,6,16,7,6,39,0,0,0,8,12,7,5,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2.44,3,3,3,3,0,0,0
main/org/apache/tools/ant/ExitStatusException.java,1,1,1,1,8,0,3,4,0,0,0,1,0,1,4,0,4,4,1,4,0,0,0,0,4,0,69,7,20,8,8,42,0,0,0,10,15,8,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2.10,4,4,4,4,0,0,0
main/org/apache/tools/ant/ExtensionPoint.java,1,1,1,1,5,0,2,2,0,0,0,1,0,1,4,0,4,4,0,4,0,0,0,0,4,0,60,8,18,10,4,34,0,0,0,5,10,7,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1.89,4,4,4,4,0,0,0
