change_id,commit_id,changed_file
71,38059656849a5bab5b56b23359a90aca4ba396c7,hw/kdrive/trident/trident.h
72,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/fbdev/Imakefile
73,5ec29fe9ea788e0dcc47534a2eca479b2c465160,hw/kdrive/src/kshadow.c
74,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/igs/igsstub.c
75,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/fbdev/fbdev.c
76,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/savage/s3.c
77,30e35cb44b6ea11d0eac8ce0d986517f3224852a,hw/kdrive/Imakefile
78,38059656849a5bab5b56b23359a90aca4ba396c7,hw/kdrive/trident/tridentcurs.c
79,f7421d836186cd6dfb919c5a48d556a68d6c5a5d,hw/kdrive/fbdev/fbdev.c
80,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/fbdev/fbdev.h
81,5ec29fe9ea788e0dcc47534a2eca479b2c465160,hw/kdrive/vesa/vbe.c
82,c97fb611dd7dedef6d075ef9d56f3d32c8018d39,hw/kdrive/Kdrive.tmpl
83,4b54f22b6accf438f31fbbe79877545c38375351,hw/kdrive/fbdev/fbdev.c
84,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/fbdev/fbinit.c
85,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/savage/s3.h
86,30e35cb44b6ea11d0eac8ce0d986517f3224852a,hw/kdrive/fbdev/fbdev.c
87,c97fb611dd7dedef6d075ef9d56f3d32c8018d39,hw/kdrive/fbdev/Imakefile
88,38059656849a5bab5b56b23359a90aca4ba396c7,hw/kdrive/trident/tridentstub.c
89,f7421d836186cd6dfb919c5a48d556a68d6c5a5d,hw/kdrive/fbdev/fbdev.h
90,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/itsy/Imakefile
91,5ec29fe9ea788e0dcc47534a2eca479b2c465160,hw/kdrive/vesa/vbe.h
92,4b54f22b6accf438f31fbbe79877545c38375351,hw/kdrive/fbdev/fbdev.h
93,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/itsy/itsy.c
94,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/savage/s3clock.c
95,30e35cb44b6ea11d0eac8ce0d986517f3224852a,hw/kdrive/fbdev/fbdev.h
96,c97fb611dd7dedef6d075ef9d56f3d32c8018d39,hw/kdrive/fbdev/fbdev.c
97,f7421d836186cd6dfb919c5a48d556a68d6c5a5d,hw/kdrive/trident/Imakefile
98,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/itsy/itsy.h
99,5ec29fe9ea788e0dcc47534a2eca479b2c465160,hw/kdrive/vesa/vesa.c
100,d6e151ce4deaff506c580da7e3baf055db1c3ae3,hw/kdrive/Imakefile
101,4b54f22b6accf438f31fbbe79877545c38375351,hw/kdrive/fbdev/fbinit.c
102,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/itsy/kbd.c
103,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/savage/s3cmap.c
104,30e35cb44b6ea11d0eac8ce0d986517f3224852a,hw/kdrive/fbdev/fbinit.c
105,c97fb611dd7dedef6d075ef9d56f3d32c8018d39,hw/kdrive/fbdev/fbdev.h
106,f7421d836186cd6dfb919c5a48d556a68d6c5a5d,hw/kdrive/trident/trident.c
107,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/itsy/ts.c
108,5ec29fe9ea788e0dcc47534a2eca479b2c465160,hw/kdrive/vesa/vesa.h
109,d6e151ce4deaff506c580da7e3baf055db1c3ae3,hw/kdrive/src/kasync.c
110,4b54f22b6accf438f31fbbe79877545c38375351,hw/kdrive/itsy/itsy.c
111,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/keyboard.c
112,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/savage/s3curs.c
113,30e35cb44b6ea11d0eac8ce0d986517f3224852a,hw/kdrive/itsy/itsy.c
114,c97fb611dd7dedef6d075ef9d56f3d32c8018d39,hw/kdrive/igs/Imakefile
115,f7421d836186cd6dfb919c5a48d556a68d6c5a5d,hw/kdrive/trident/trident.h
116,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/linux.c
117,5ec29fe9ea788e0dcc47534a2eca479b2c465160,hw/kdrive/vesa/vesainit.c
118,d6e151ce4deaff506c580da7e3baf055db1c3ae3,hw/kdrive/src/kcurscol.c
119,4b54f22b6accf438f31fbbe79877545c38375351,hw/kdrive/itsy/itsy.h
120,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/ps2.c
121,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/savage/s3draw.c
122,30e35cb44b6ea11d0eac8ce0d986517f3224852a,hw/kdrive/linux/Imakefile
123,c97fb611dd7dedef6d075ef9d56f3d32c8018d39,hw/kdrive/igs/igs.c
124,f7421d836186cd6dfb919c5a48d556a68d6c5a5d,hw/kdrive/vesa/vesa.c
125,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/savage/Imakefile
126,18692160c964c80ba83b63bc207660b6254e11cb,hw/kdrive/src/kdrive.c
127,30e35cb44b6ea11d0eac8ce0d986517f3224852a,hw/kdrive/linux/keyboard.c
128,d6e151ce4deaff506c580da7e3baf055db1c3ae3,hw/kdrive/src/kdrive.c
129,4b54f22b6accf438f31fbbe79877545c38375351,hw/kdrive/itsy/kbd.c
130,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/savage/s3.c
131,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/savage/s3draw.h
132,30e35cb44b6ea11d0eac8ce0d986517f3224852a,hw/kdrive/linux/linux.c
133,c97fb611dd7dedef6d075ef9d56f3d32c8018d39,hw/kdrive/itsy/Imakefile
134,f7421d836186cd6dfb919c5a48d556a68d6c5a5d,hw/kdrive/vesa/vesa.h
135,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/savage/s3.h
136,30e35cb44b6ea11d0eac8ce0d986517f3224852a,hw/kdrive/linux/ps2.c
137,d6e151ce4deaff506c580da7e3baf055db1c3ae3,hw/kdrive/src/kdrive.h
138,5b9f49f64c7fb51afbfaab4f848fc7d67851582c,hw/kdrive/trident/Imakefile
139,4b54f22b6accf438f31fbbe79877545c38375351,hw/kdrive/itsy/ts.c
140,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/savage/s3.nick
141,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/savage/s3reg.c
142,30e35cb44b6ea11d0eac8ce0d986517f3224852a,hw/kdrive/savage/s3.c
143,c97fb611dd7dedef6d075ef9d56f3d32c8018d39,hw/kdrive/linux/Imakefile
144,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/savage/s3clock.c
145,02777941e6ac8c79f934ba95b6b2e7f388ffbd14,hw/kdrive/vesa/vesa.c
146,d6e151ce4deaff506c580da7e3baf055db1c3ae3,hw/kdrive/src/kinput.c
147,4b54f22b6accf438f31fbbe79877545c38375351,hw/kdrive/linux/keyboard.c
148,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/savage/s3cmap.c
149,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/savage/s3reg.h
150,30e35cb44b6ea11d0eac8ce0d986517f3224852a,hw/kdrive/savage/s3.h
151,2bbb90ebd927607e0b2c7cd8f3a402b44705fe03,hw/kdrive/fbdev/fbdev.c
152,c97fb611dd7dedef6d075ef9d56f3d32c8018d39,hw/kdrive/savage/Imakefile
153,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/savage/s3curs.c
154,02777941e6ac8c79f934ba95b6b2e7f388ffbd14,hw/kdrive/vesa/vesa.h
155,d6e151ce4deaff506c580da7e3baf055db1c3ae3,hw/kdrive/src/kpict.c
156,4b54f22b6accf438f31fbbe79877545c38375351,hw/kdrive/linux/linux.c
157,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/savage/s3draw.c
158,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/sis530/sis.c
159,30e35cb44b6ea11d0eac8ce0d986517f3224852a,hw/kdrive/savage/s3clock.c
160,2bbb90ebd927607e0b2c7cd8f3a402b44705fe03,hw/kdrive/fbdev/fbdev.h
161,c97fb611dd7dedef6d075ef9d56f3d32c8018d39,hw/kdrive/savage/s3.c
162,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/savage/s3draw.h
163,4b54f22b6accf438f31fbbe79877545c38375351,hw/kdrive/linux/ps2.c
164,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/savage/s3gc.c
165,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/sis530/sis.h
166,30e35cb44b6ea11d0eac8ce0d986517f3224852a,hw/kdrive/savage/s3cmap.c
167,2bbb90ebd927607e0b2c7cd8f3a402b44705fe03,hw/kdrive/fbdev/fbinit.c
168,c97fb611dd7dedef6d075ef9d56f3d32c8018d39,hw/kdrive/savage/s3.h
169,61e8a40f0d4e886bec96c3f9ee90433a3fab9d54,hw/kdrive/trident/trident.c
170,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/savage/s3reg.c
171,03e3689701007ea40422b4d729b65aaebcd84869,hw/kdrive/trident/trident.c
172,4b54f22b6accf438f31fbbe79877545c38375351,hw/kdrive/savage/s3.c
173,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/savage/s3reg.h
174,3731c184d69e3c1face0c731926433d522d48067,hw/kdrive/sis530/siscmap.c
175,30e35cb44b6ea11d0eac8ce0d986517f3224852a,hw/kdrive/savage/s3curs.c
176,2bbb90ebd927607e0b2c7cd8f3a402b44705fe03,hw/kdrive/linux/Imakefile
177,c97fb611dd7dedef6d075ef9d56f3d32c8018d39,hw/kdrive/sis530/Imakefile
178,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/savage/s3rtst.c
179,367cab99ece8655bbd8a65096bb68bcfd7ef6fea,hw/kdrive/linux/ts.c
180,94368c3b92b8513d5135fb3c20165f108b0e96fd,hw/kdrive/fbdev/fbdev.c
181,4b54f22b6accf438f31fbbe79877545c38375351,hw/kdrive/savage/s3.h
182,f13b792a3a8d307a18cd6a41aa5a06622009e42f,hw/kdrive/savage/s3stub.c
